time,current_state,N_light,S_light,E_light,W_light,walk_signal,sensor_N,sensor_S,sensor_E,sensor_W,ped_request,emergency_dir
5000,xxx,00,00,00,00,0,0,0,0,0,0,00
15000,010,00,00,00,00,0,0,0,0,0,0,00
25000,010,00,00,00,00,0,1,0,0,0,0,00
35000,010,00,00,00,00,0,1,0,0,0,0,00
45000,000,10,10,00,00,0,1,0,0,0,0,00
55000,000,10,10,00,00,0,1,0,0,0,0,00
65000,000,10,10,00,00,0,1,0,0,0,0,00
75000,000,10,10,00,00,0,1,0,0,0,0,00
85000,000,10,10,00,00,0,1,0,0,0,0,00
95000,000,10,10,00,00,0,1,0,0,0,0,00
105000,000,10,10,00,00,0,1,0,0,0,0,00
115000,000,10,10,00,00,0,1,0,0,0,0,00
125000,000,10,10,00,00,0,1,0,0,0,0,00
135000,000,10,10,00,00,0,1,0,0,0,0,00
145000,000,10,10,00,00,0,1,0,0,0,0,00
155000,000,10,10,00,00,0,1,0,0,0,0,00
165000,000,10,10,00,00,0,1,0,0,0,0,00
175000,000,10,10,00,00,0,1,0,0,0,0,00
185000,000,10,10,00,00,0,1,0,0,0,0,00
195000,000,10,10,00,00,0,1,0,0,0,0,00
205000,000,10,10,00,00,0,1,0,0,0,0,00
215000,000,10,10,00,00,0,1,0,0,0,0,00
225000,000,10,10,00,00,0,1,0,0,0,0,00
235000,000,10,10,00,00,0,0,0,1,0,0,00
245000,001,01,01,00,00,0,0,0,1,0,0,00
255000,001,01,01,00,00,0,0,0,1,0,0,00
265000,001,01,01,00,00,0,0,0,1,0,0,00
275000,001,01,01,00,00,0,0,0,1,0,0,00
285000,010,00,00,00,00,0,0,0,1,0,0,00
295000,010,00,00,00,00,0,0,0,1,0,0,00
305000,010,00,00,00,00,0,0,0,1,0,0,00
315000,011,00,00,10,10,0,0,0,1,0,0,00
325000,011,00,00,10,10,0,0,0,1,0,0,00
335000,011,00,00,10,10,0,0,0,1,0,0,00
345000,011,00,00,10,10,0,0,0,1,0,0,00
355000,011,00,00,10,10,0,0,0,1,0,0,00
365000,011,00,00,10,10,0,0,0,1,0,0,00
375000,011,00,00,10,10,0,0,0,1,0,0,00
385000,011,00,00,10,10,0,0,0,1,0,0,00
395000,011,00,00,10,10,0,0,0,1,0,0,00
405000,011,00,00,10,10,0,0,0,1,0,0,00
415000,011,00,00,10,10,0,0,0,1,0,0,00
425000,011,00,00,10,10,0,0,0,1,0,0,00
435000,011,00,00,10,10,0,0,0,1,0,0,00
445000,011,00,00,10,10,0,0,0,1,0,1,00
455000,100,00,00,01,01,0,0,0,1,0,1,00
465000,100,00,00,01,01,0,0,0,1,0,1,00
475000,100,00,00,01,01,0,0,0,1,0,1,00
485000,100,00,00,01,01,0,0,0,1,0,1,00
495000,010,00,00,00,00,0,0,0,1,0,1,00
505000,010,00,00,00,00,0,0,0,1,0,1,00
515000,010,00,00,00,00,0,0,0,1,0,1,00
525000,101,00,00,00,00,1,0,0,1,0,1,00
535000,101,00,00,00,00,1,0,0,1,0,1,00
545000,101,00,00,00,00,1,0,0,1,0,1,00
555000,101,00,00,00,00,1,0,0,1,0,1,00
565000,101,00,00,00,00,1,0,0,1,0,1,00
575000,101,00,00,00,00,1,0,0,1,0,1,00
585000,101,00,00,00,00,1,0,0,1,0,1,00
595000,101,00,00,00,00,1,0,0,1,0,1,00
605000,101,00,00,00,00,1,0,0,1,0,1,00
615000,101,00,00,00,00,1,0,0,1,0,1,00
625000,101,00,00,00,00,1,0,0,1,0,1,00
635000,101,00,00,00,00,1,0,0,1,0,1,00
645000,101,00,00,00,00,1,0,0,1,0,1,00
655000,101,00,00,00,00,1,0,0,1,0,1,00
665000,101,00,00,00,00,1,0,0,1,0,1,00
675000,101,00,00,00,00,1,0,0,1,0,1,00
685000,010,00,00,00,00,0,0,0,1,0,1,00
695000,010,00,00,00,00,0,0,0,1,0,1,00
705000,010,00,00,00,00,0,0,0,1,0,1,00
715000,101,00,00,00,00,1,0,0,1,0,1,00
725000,101,00,00,00,00,1,0,0,1,0,1,00
735000,101,00,00,00,00,1,0,0,1,0,1,00
745000,101,00,00,00,00,1,0,0,1,0,0,00
755000,101,00,00,00,00,1,0,0,1,0,0,00
765000,101,00,00,00,00,1,0,0,1,0,0,00
775000,101,00,00,00,00,1,0,0,1,0,0,00
785000,101,00,00,00,00,1,0,0,1,0,0,00
795000,101,00,00,00,00,1,0,0,1,0,0,00
805000,101,00,00,00,00,1,0,0,1,0,0,00
815000,101,00,00,00,00,1,0,0,1,0,0,00
825000,101,00,00,00,00,1,0,0,1,0,0,00
835000,101,00,00,00,00,1,0,0,1,0,0,00
845000,101,00,00,00,00,1,0,0,1,0,0,00
855000,101,00,00,00,00,1,0,0,1,0,0,00
865000,101,00,00,00,00,1,0,0,1,0,0,00
875000,010,00,00,00,00,0,0,0,1,0,0,00
885000,010,00,00,00,00,0,0,0,1,0,0,00
895000,010,00,00,00,00,0,0,0,1,0,0,00
905000,011,00,00,10,10,0,0,0,1,0,0,00
915000,011,00,00,10,10,0,0,0,1,0,0,00
925000,011,00,00,10,10,0,0,0,1,0,0,00
935000,011,00,00,10,10,0,0,0,1,0,0,00
945000,011,00,00,10,10,0,0,0,1,0,0,01
